timestamp,phase,actual_label,predicted_label,system_alert,face_detected,eye_openness,closure_score,lid_proximity,ear,consecutive_closed_frames
2026-08-30T23:50:53.985,Alert — Eyes Open,0,0,0,1,55.402,44.598,80.315,0.37693,1
2026-08-30T23:50:54.122,Alert — Eyes Open,0,1,0,1,49.003,50.997,79.681,0.38639,2
2026-08-30T23:50:54.254,Alert — Eyes Open,0,1,0,1,54.562,45.438,78.348,0.36962,3
2026-08-30T23:50:54.378,Alert — Eyes Open,0,1,0,1,52.261,47.739,76.229,0.38539,4
2026-08-30T23:50:54.458,Alert — Eyes Open,0,1,1,1,50.371,49.629,80.858,0.3727,5
2026-08-30T23:50:54.548,Alert — Eyes Open,0,1,1,1,58.062,41.938,71.55,0.39166,6
2026-08-30T23:50:54.644,Alert — Eyes Open,0,1,0,1,68.657,31.343,54.574,0.44076,4
2026-08-30T23:50:54.748,Alert — Eyes Open,0,1,0,1,66.641,33.359,55.788,0.43799,2
2026-08-30T23:50:54.841,Alert — Eyes Open,0,0,0,1,70.512,29.488,53.726,0.4527,0
2026-08-30T23:50:54.914,Alert — Eyes Open,0,0,0,1,69.529,30.471,50.806,0.45043,0
2026-08-30T23:50:55.027,Alert — Eyes Open,0,0,0,1,67.83,32.17,53.825,0.44906,0
2026-08-30T23:50:55.166,Alert — Eyes Open,0,0,0,1,70.831,29.169,50.692,0.46549,0
2026-08-30T23:50:55.282,Alert — Eyes Open,0,0,0,1,69.437,30.563,52.791,0.45226,0
2026-08-30T23:50:55.389,Alert — Eyes Open,0,0,0,1,70.361,29.639,53.505,0.44434,0
2026-08-30T23:50:55.472,Alert — Eyes Open,0,0,0,1,68.944,31.056,54.574,0.45143,0
2026-08-30T23:50:55.596,Alert — Eyes Open,0,0,0,1,66.915,33.085,51.682,0.45063,0
2026-08-30T23:50:55.689,Alert — Eyes Open,0,0,0,1,71.539,28.461,47.926,0.47715,0
2026-08-30T23:50:55.797,Alert — Eyes Open,0,0,0,1,70.958,29.042,50.806,0.46336,0
2026-08-30T23:50:55.901,Alert — Eyes Open,0,0,0,1,72.733,27.267,49.839,0.46998,0
2026-08-30T23:50:55.985,Alert — Eyes Open,0,0,0,1,70.935,29.065,49.602,0.47702,0
2026-08-30T23:50:56.067,Alert — Eyes Open,0,0,0,1,69.507,30.493,51.734,0.46006,0
2026-08-30T23:50:56.158,Alert — Eyes Open,0,0,0,1,69.059,30.941,48.813,0.46755,0
2026-08-30T23:50:56.236,Alert — Eyes Open,0,0,0,1,69.13,30.87,51.66,0.45623,0
2026-08-30T23:50:56.311,Alert — Eyes Open,0,0,0,1,67.979,32.021,53.481,0.44625,0
2026-08-30T23:50:56.399,Alert — Eyes Open,0,0,0,1,67.81,32.19,55.569,0.45143,0
2026-08-30T23:50:56.490,Alert — Eyes Open,0,0,0,1,69.504,30.496,51.694,0.454,0
2026-08-30T23:50:56.573,Alert — Eyes Open,0,0,0,1,70.773,29.227,50.741,0.45814,0
2026-08-30T23:50:56.654,Alert — Eyes Open,0,0,0,1,69.596,30.404,52.614,0.44618,0
2026-08-30T23:50:56.745,Alert — Eyes Open,0,0,0,1,68.254,31.746,53.578,0.44765,0
2026-08-30T23:50:56.820,Alert — Eyes Open,0,0,0,1,70.618,29.382,50.728,0.45297,0
2026-08-30T23:50:56.895,Alert — Eyes Open,0,0,0,1,69.743,30.257,51.72,0.45861,0
2026-08-30T23:50:56.976,Alert — Eyes Open,0,0,0,1,69.029,30.971,48.522,0.45921,0
2026-08-30T23:50:57.059,Alert — Eyes Open,0,0,0,1,71.567,28.433,48.629,0.4644,0
2026-08-30T23:50:57.143,Alert — Eyes Open,0,0,0,1,73.843,26.157,45.765,0.47293,0
2026-08-30T23:50:57.221,Alert — Eyes Open,0,0,0,1,73.367,26.633,47.931,0.46603,0
2026-08-30T23:50:57.290,Alert — Eyes Open,0,0,0,1,73.077,26.923,46.76,0.47814,0
2026-08-30T23:50:57.370,Alert — Eyes Open,0,0,0,1,71.381,28.619,47.633,0.47142,0
2026-08-30T23:50:57.437,Alert — Eyes Open,0,0,0,1,71.254,28.746,45.767,0.46767,0
2026-08-30T23:50:57.513,Alert — Eyes Open,0,0,0,1,73.159,26.841,44.772,0.47907,0
2026-08-30T23:50:57.602,Alert — Eyes Open,0,0,0,1,73.868,26.132,45.851,0.47814,0
2026-08-30T23:50:57.688,Alert — Eyes Open,0,0,0,1,75.168,24.832,41.732,0.48375,0
2026-08-30T23:50:57.776,Alert — Eyes Open,0,0,0,1,75.361,24.639,41.577,0.48469,0
2026-08-30T23:50:57.873,Alert — Eyes Open,0,0,0,1,70.422,29.578,56.694,0.43259,0
2026-08-30T23:50:57.963,Alert — Eyes Open,0,0,0,1,74.723,25.277,43.544,0.47769,0
2026-08-30T23:50:58.042,Alert — Eyes Open,0,0,0,1,76.096,23.904,36.713,0.49288,0
2026-08-30T23:50:58.109,Alert — Eyes Open,0,0,0,1,73.678,26.322,41.657,0.46465,0
2026-08-30T23:50:58.195,Alert — Eyes Open,0,0,0,1,75.004,24.996,41.406,0.461,0
2026-08-30T23:50:58.289,Alert — Eyes Open,0,0,0,1,72.421,27.579,43.835,0.45867,0
2026-08-30T23:50:58.365,Alert — Eyes Open,0,0,0,1,71.471,28.529,44.642,0.45667,0
2026-08-30T23:50:58.452,Alert — Eyes Open,0,0,0,1,71.967,28.033,45.651,0.45549,0
2026-08-30T23:50:58.532,Alert — Eyes Open,0,0,0,1,71.843,28.157,42.666,0.46534,0
2026-08-30T23:50:58.612,Alert — Eyes Open,0,0,0,1,72.567,27.433,40.751,0.47131,0
2026-08-30T23:50:58.694,Alert — Eyes Open,0,0,0,1,55.4,44.6,72.23,0.39555,1
2026-08-30T23:50:58.768,Alert — Eyes Open,0,0,0,1,61.392,38.608,64.095,0.4065,0
2026-08-30T23:50:58.851,Alert — Eyes Open,0,0,0,1,72.541,27.459,46.477,0.45676,0
2026-08-30T23:50:58.938,Alert — Eyes Open,0,0,0,1,73.092,26.908,41.515,0.46266,0
2026-08-30T23:50:59.013,Alert — Eyes Open,0,0,0,1,73.127,26.873,41.351,0.45826,0
2026-08-30T23:50:59.102,Alert — Eyes Open,0,0,0,1,72.636,27.364,43.658,0.45425,0
2026-08-30T23:50:59.184,Alert — Eyes Open,0,0,0,1,73.956,26.044,36.537,0.47865,0
2026-08-30T23:50:59.266,Alert — Eyes Open,0,0,0,1,73.918,26.082,39.581,0.47441,0
2026-08-30T23:50:59.340,Alert — Eyes Open,0,0,0,1,74.972,25.028,37.672,0.47664,0
2026-08-30T23:50:59.404,Alert — Eyes Open,0,0,0,1,74.673,25.327,37.601,0.47821,0
2026-08-30T23:50:59.521,Alert — Eyes Open,0,0,0,1,74.687,25.313,38.522,0.46746,0
2026-08-30T23:50:59.597,Alert — Eyes Open,0,0,0,1,72.072,27.928,42.501,0.4588,0
2026-08-30T23:50:59.680,Alert — Eyes Open,0,0,0,1,74.069,25.931,39.84,0.47136,0
2026-08-30T23:50:59.767,Alert — Eyes Open,0,0,0,1,73.793,26.207,41.649,0.46496,0
2026-08-30T23:50:59.861,Alert — Eyes Open,0,0,0,1,79.114,20.886,29.588,0.50357,0
2026-08-30T23:50:59.936,Alert — Eyes Open,0,0,0,1,76.245,23.755,30.513,0.49965,0
2026-08-30T23:51:00.012,Alert — Eyes Open,0,0,0,1,76.462,23.538,31.531,0.48631,0
2026-08-30T23:51:00.089,Alert — Eyes Open,0,0,0,1,77.457,22.543,29.475,0.49619,0
2026-08-30T23:51:00.173,Alert — Eyes Open,0,0,0,1,78.361,21.639,26.544,0.51148,0
