timestamp,phase,actual_label,predicted_label,system_alert,face_detected,eye_openness,closure_score,lid_proximity,ear,consecutive_closed_frames
2026-08-30T23:46:36.572,Alert — Eyes Open,0,1,0,1,17.686,82.314,86.938,0.35933,1
2026-08-30T23:46:36.707,Alert — Eyes Open,0,1,0,1,17.237,82.763,88.116,0.36419,2
2026-08-30T23:46:36.791,Alert — Eyes Open,0,1,0,1,17.273,82.727,89.0,0.35378,3
2026-08-30T23:46:36.903,Alert — Eyes Open,0,1,0,1,21.734,78.266,87.714,0.35886,4
2026-08-30T23:46:36.992,Alert — Eyes Open,0,1,1,1,16.737,83.263,89.675,0.36069,5
2026-08-30T23:46:37.075,Alert — Eyes Open,0,1,1,1,13.436,86.564,90.658,0.34851,6
2026-08-30T23:46:37.182,Alert — Eyes Open,0,1,1,1,16.158,83.842,88.917,0.36149,7
2026-08-30T23:46:37.276,Alert — Eyes Open,0,1,1,1,14.148,85.852,88.248,0.35451,8
2026-08-30T23:46:37.367,Alert — Eyes Open,0,1,1,1,16.156,83.844,89.702,0.36476,9
2026-08-30T23:46:37.477,Alert — Eyes Open,0,1,1,1,13.778,86.222,88.528,0.35728,10
2026-08-30T23:46:37.602,Alert — Eyes Open,0,1,1,1,29.411,70.589,82.879,0.36346,11
2026-08-30T23:46:37.712,Alert — Eyes Open,0,1,1,1,22.04,77.96,88.576,0.36585,12
2026-08-30T23:46:37.842,Alert — Eyes Open,0,1,1,1,23.211,76.789,89.552,0.3654,13
2026-08-30T23:46:37.965,Alert — Eyes Open,0,1,1,1,25.327,74.673,89.767,0.35807,14
2026-08-30T23:46:38.098,Alert — Eyes Open,0,1,1,1,30.755,69.245,85.679,0.37153,15
2026-08-30T23:46:38.213,Alert — Eyes Open,0,1,1,1,26.215,73.785,88.818,0.3693,16
2026-08-30T23:46:38.337,Alert — Eyes Open,0,1,1,1,25.082,74.918,89.552,0.36302,17
2026-08-30T23:46:38.450,Alert — Eyes Open,0,0,1,1,48.096,51.904,76.477,0.37255,15
2026-08-30T23:46:38.543,Alert — Eyes Open,0,0,1,1,60.021,39.979,59.538,0.39568,13
2026-08-30T23:46:38.643,Alert — Eyes Open,0,0,1,1,65.239,34.761,55.713,0.40789,11
2026-08-30T23:46:38.747,Alert — Eyes Open,0,0,1,1,60.839,39.161,60.767,0.39786,9
2026-08-30T23:46:38.861,Alert — Eyes Open,0,0,1,1,55.784,44.216,66.751,0.38681,7
2026-08-30T23:46:38.957,Alert — Eyes Open,0,0,1,1,60.864,39.136,60.522,0.39371,5
2026-08-30T23:46:39.042,Alert — Eyes Open,0,0,0,1,62.573,37.427,59.769,0.39946,3
2026-08-30T23:46:39.132,Alert — Eyes Open,0,0,0,1,59.869,40.131,58.694,0.4035,1
